codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,datahora
10306,KQP6773,19,-22.919442,-43.607595,2023-05-08 18:25:33,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],13633.6,,
12702,KXB8152,25,-22.919625,-43.608713,2023-07-04 23:11:48,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],27817.4,,
12703,LSM8771,10,-22.919891,-43.607869,2023-06-22 11:01:22,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],30854.4,,
12704,LSM8778,20,-22.920368,-43.607281,2023-06-08 07:00:34,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],21199.9,,
12705,,18,-23.006824,-43.31256,2023-07-21 13:06:31,0.0,,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],28513.0,,
12706,KXB8938,10,-22.920521,-43.607432,2023-03-31 08:02:04,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),4060.2,,
12707,LMI8079,12,-22.919866,-43.607431,2023-05-20 05:02:01,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],4853.2,,
12710,KRO9724,10,-22.943986,-43.660865,2023-07-21 13:58:16,53.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],37178.3,140.0,
12711,LSO1629,10,-22.919951,-43.607173,2023-03-15 15:36:35,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),4511.1,,
12712,LSN8501,10,-23.002719,-43.366248,2023-07-21 13:21:49,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],29603.1,,
12713,,25,-22.920501,-43.607116,2023-07-21 13:58:34,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],34383.0,,
12714,KXC7431,0,-22.919564,-43.607593,2023-07-21 13:01:09,0.0,,,,39737.7,,
12715,,12,-23.001849,-43.36589,2023-07-21 13:44:19,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],40977.1,,
12716,,10,-23.015624,-43.471133,2023-07-21 13:58:25,18.5,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],44124.5,74.0,
12718,KRP5933,12,-22.920426,-43.607335,2023-06-06 14:12:44,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],18261.1,,
12720,KXD9430,0,-22.920685,-43.607723,2023-07-21 13:07:38,0.0,,,,19869.4,,
12721,KXW7973,10,-22.920054,-43.607777,2023-03-17 17:00:19,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),986.6,,
12724,LMJ1118,20,-22.920948,-43.608272,2023-07-21 13:52:49,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],9610.0,,
12725,LMJ1327,12,-23.000943,-43.3649,2023-07-21 13:58:30,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],37941.0,279.0,
12726,KXD8483,18,-22.920422,-43.607046,2023-07-21 13:02:24,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],17942.3,,
12728,,10,-22.91693,-43.68351,2023-07-21 13:58:30,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],41231.3,,
12730,LSO8993,0,-22.920785,-43.607846,2023-07-21 13:58:24,0.0,,,,8370.5,,
